,,,,,,,,,,nan_8,nan_9,nan_10,nan_11,code,product name,brand,unit,qty,unit price,amount,vat/tax %,vat amount,final amount,cost | p unit,retail price or % | p unit,wholesale price | p unit,disc/p unit,"97212, dubai, united arab emirates"
,,,,,,,,,,,,,,,SILICON GUN-NOVEX,,PCS,10,5.52,55.2,5,2.76,57.96,,,,,
,,,,,,,,,,,,,,,SILICON GUN - NOVEX,,PCS,10,7,70,5,3.5,73.5,,,,,
,,,,,,,,,,,,,,,BATH MIXER-NOVEX,,PCS,4,50,200,5,10,210,,,,,
,,,,,,,,,,,,,,,BATH MIXER (VERONA SERIES) - CAVIL ,,PCS,15,36,540,5,27,567,,,,,
,,,,,,,,,,,,,,,BRAIDED FLEXIBLE HOSE SS-201 60CM- NOVEX,,PCS,100,3,300,5,15,315,,,,,
,,,,,,,,,,,,,,,BRAIDED FLEXIBLE HOSE SS-201 60CM- NOVEX,,PCS,10,0,0,5,0,0,,,,,
,,,,,,,,,,,,,,,BRAIDED FLEXIBLE HOSE SS-201 90CM- NOVEX,,PCS,50,4.95,247.5,5,12.38,259.88,,,,,
,,,,,,,,,,,,,,,13A 3W MULTY ADAPTOR WITH SWITCH NOVEX,,PCS,10,6.5,65,5,3.25,68.25,,,,,
,,,,,,,,,,,,,,,400W 12V 33.3A METAL LED DRIVER (ECO-SERIES)- NOVEX,,PCS,6,21,126,5,6.3,132.3,,,,,
,,,,,,,,,,,,,,,300W 12V 25A METAL LED DRIVER (ECO-SERIES)-NOVEX,,PCS,6,19,114,5,5.7,119.7,,,,,
,,,,,,,,,,,,,,,200W 12V 16.5A METAL LED DRIVER (ECO-SERIES)-NOVEX,,PCS,10,16.5,165,5,8.25,173.25,,,,,
,,,,,,,,,,,,,,,12W E27 LED BULB 7000K (HYUNDAI SERIES)-NOVEX,,PCS,40,2.75,110,5,5.5,115.5,,,,,
,,,,,,,,,,,,,,,20W E27 LED PILLAR LAMP 7000K (HYUNDAI SERIES) - NOVEX,,PCS,20,6.5,130,5,6.5,136.5,,,,,
,,,,,,,,,,,,,,,30W E27 LED PILLAR LAMP 7000K (HYUNDAI SERIES) - NOVEX,,PCS,20,8.5,170,5,8.5,178.5,,,,,
,,,,,,,,,,,,,,,13A 2 GANG SWITCH SOCKET W/NEON MATT BLACK (TORONTO SERIES) - NOVEX,,PCS,20,9.75,195,5,9.75,204.75,,,,,
,,,,,,,,,,,,,,,10X10 PVC TRUNKING W/STICKER - NOVEX,,PCS,50,1.15,57.5,5,2.88,60.38,,,,,
,,,,,,,,,,,,,,,CYLINDER (70MM) WITH 5 N-KEYS SATIN NICKLE-CAVIL,,PCS,20,5,100,5,5,105,,,,,
,,,,,,,,,,,,,,,CYLINDER (60MM) WITH 5 N-KEYS SATIN NICKLE CAVIL,,PCS,10,4.9,49,5,2.45,51.45,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,14.11.2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,November,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,534308,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,
,,,,,,,,,,,,,,,13A 2 GANG MULTI-FUNTION SWITCH SOCKET W/NEON WHITE (TORONTO SERIES) - NOVEX,,PCS,25,9,225,5,11.25,236.25,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,21.11.2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,November,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,535699,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,
,,,,,,,,,,,,,,,40W TB LED TUBE (4 FT) 12000K - NOVEX,,PCS,25,5.5,137.5,5,6.88,144.38,,,,,
,,,,,,,,,,,,,,,ALUMINIUM PROFILE 2MTR (17×12MM) - NOVEX,,PCS,100,4,400,5,20,420,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,26.11.2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,November,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,536505,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,
,,,,,,,,,,,,,,,TIME DELAY URINAL TAP - NOVEX,,PCS,10,31,310,5,15.5,325.5,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,01.11.2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,November,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,531335,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,
,,,,,,,,,,,,,,,13A 1 GANG SWITCH SOCKET W/NEON WHITE (TORONTO SERIES) - NOVEX,,PCS,10,4.5,45,5,2.25,47.25,,,,,
,,,,,,,,,,,,,,,20A 1 GANG DP SWITCH W/NEON WHITE (TORONTO SERIES) - NOVEX,,PCS,10,5,50,5,2.5,52.5,,,,,
,,,,,,,,,,,,,,,45A DP+13A SWITCH SOCKET (COOKER UNIT) WHITE (TORONTO SERIES) - NOVEX,,PCS,5,15,75,5,3.75,78.75,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,01.11.2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,November,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,531467,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,
,,,,,,,,,,,,,,,1 GANG BLANK PLATE WHITE (TORONTO SERIES)-NOVEX,,PCS,20,2.2,44,5,2.2,46.2,,,,,
